0,1.75
0.1,1.75
0.2,1.75
0.3,1.75
0.4,1.75
0.5,1.75
0.6,1.75
0.7,1.75
0.8,1.75
0.9,1.75
1,1.75
1.1,1.75
1.2,1.75
1.3,1.75
1.4,1.75
1.5,1.75
1.6,1.75
1.7,1.75
1.8,1.75
1.9,1.75
2,1.75
2.1,1.75
2.2,1.75
2.3,1.75
2.4,1.75
2.5,1.75
2.6,1.76167
2.7,1.77333
2.8,1.785
2.9,1.79667
3,1.80833
3.1,1.82
3.2,1.83167
3.3,1.84333
3.4,1.855
3.5,1.86667
3.6,1.87833
3.7,1.89
3.8,1.90167
3.9,1.91333
4,1.925
4.1,1.93667
4.2,1.94833
4.3,1.96
4.4,1.97167
4.5,1.98333
4.6,1.995
4.7,2.00667
4.8,2.01833
4.9,2.03
5,2.04167
5.1,2.05333
5.2,2.065
5.3,2.07667
5.4,2.08833
5.5,2.1
5.6,2.11167
5.7,2.12333
5.8,2.135
5.9,2.14667
6,2.15833
6.1,2.17
6.2,2.18167
6.3,2.19333
6.4,2.205
6.5,2.21667
6.6,2.22833
6.7,2.24
6.8,2.25167
6.9,2.26333
7,2.275
7.1,2.28667
7.2,2.29833
7.3,2.31
7.4,2.32167
7.5,2.33333
7.6,2.345
7.7,2.35667
7.8,2.36833
7.9,2.38
8,2.39167
8.1,2.40333
8.2,2.415
8.3,2.42667
8.4,2.43833
8.5,2.45
8.6,2.46167
8.7,2.47333
8.8,2.485
8.9,2.49667
9,2.50833
9.1,2.52
9.2,2.53167
9.3,2.54333
9.4,2.555
9.5,2.56667
9.6,2.57833
9.7,2.59
9.8,2.60167
9.9,2.61333
10,2.625
10.1,2.63667
10.2,2.64833
10.3,2.66
10.4,2.67167
10.5,2.68333
10.6,2.695
10.7,2.70667
10.8,2.71833
10.9,2.73
11,2.74167
11.1,2.75333
11.2,2.765
11.3,2.77667
11.4,2.78833
11.5,2.8
11.6,2.81167
11.7,2.82333
11.8,2.835
11.9,2.84667
12,2.85833
12.1,2.87
12.2,2.88167
12.3,2.89333
12.4,2.905
12.5,2.91667
12.6,2.92833
12.7,2.94
12.8,2.95167
12.9,2.96333
13,2.975
13.1,2.98667
13.2,2.99833
13.3,3.01
13.4,3.02167
13.5,3.03333
13.6,3.045
13.7,3.05667
13.8,3.06833
13.9,3.08
14,3.09167
14.1,3.10333
14.2,3.115
14.3,3.12667
14.4,3.13833
14.5,3.15
14.6,3.16167
14.7,3.17333
14.8,3.185
14.9,3.19667
15,3.20833
15.1,3.22
15.2,3.23167
15.3,3.24333
15.4,3.255
15.5,3.26667
15.6,3.27833
15.7,3.29
15.8,3.30167
15.9,3.31333
16,3.325
16.1,3.33667
16.2,3.34833
16.3,3.36
16.4,3.37167
16.5,3.38333
16.6,3.395
16.7,3.40667
16.8,3.41833
16.9,3.43
17,3.44167
17.1,3.45333
17.2,3.465
17.3,3.47667
17.4,3.48833
17.5,3.5
17.6,3.51167
17.7,3.52333
17.8,3.535
17.9,3.54667
18,3.55833
18.1,3.57
18.2,3.58167
18.3,3.59333
18.4,3.605
18.5,3.61667
18.6,3.62833
18.7,3.64
18.8,3.65167
18.9,3.66333
19,3.675
19.1,3.68667
19.2,3.69833
19.3,3.71
19.4,3.72167
19.5,3.73333
19.6,3.745
19.7,3.75667
19.8,3.76833
19.9,3.78
20,3.79167
20.1,3.80333
20.2,3.815
20.3,3.82667
20.4,3.83833
20.5,3.85
20.6,3.86167
20.7,3.87333
20.8,3.885
20.9,3.89667
21,3.90833
21.1,3.92
21.2,3.93167
21.3,3.94333
21.4,3.955
21.5,3.96667
21.6,3.97833
21.7,3.99
21.8,4.00167
21.9,4.01333
22,4.025
22.1,4.03667
22.2,4.04833
22.3,4.06
22.4,4.07167
22.5,4.08333
22.6,4.095
22.7,4.10667
22.8,4.11833
22.9,4.13
23,4.14167
23.1,4.15333
23.2,4.165
23.3,4.17667
23.4,4.18833
23.5,4.2
23.6,4.21167
23.7,4.22333
23.8,4.235
23.9,4.24667
24,4.25833
24.1,4.27
24.2,4.28167
24.3,4.29333
24.4,4.305
24.5,4.31667
24.6,4.32833
24.7,4.34
24.8,4.35167
24.9,4.36333
25,4.375
25.1,4.38667
25.2,4.39833
25.3,4.41
25.4,4.42167
25.5,4.43333
25.6,4.445
25.7,4.45667
25.8,4.46833
25.9,4.48
26,4.49167
26.1,4.50333
26.2,4.515
26.3,4.52667
26.4,4.53833
26.5,4.55
